NOME,ANO_INGRESSO_2020,FASE_2020,PEDRA_2020,IAN_2020,DESTAQUE_IDA_2020,IDA_2020,DESTAQUE_IEG_2020,IEG_2020,IAA_2020,IPS_2020,IPP_2020,DESTAQUE_IPV_2020,IPV_2020,INDE_2020,PONTO_VIRADA_2020
ALUNO-1,2018,2,Ametista,10.0,0,7.0,1,8.7,8.500020000000001,7.5,5.9375,1,7.75,7.883752,0
ALUNO-3,2018,3,Ametista,10.0,0,5.5,1,8.9,7.91667,7.5,8.125,1,8.111113333333334,7.856389666666666,0
ALUNO-4,2018,1,Quartzo,5.0,0,0.0,0,4.1,8.000020000000001,6.875,7.1875,0,7.75,5.076252,0
ALUNO-5,2019,2,Ametista,10.0,1,7.5,1,8.0,7.50002,7.5,8.4375,1,8.166665,8.077085,0
ALUNO-8,2017,4,Ametista,10.0,0,7.333333333333333,1,9.9,8.33334,4.375,8.749999999999998,1,8.94445,8.381390666666666,1
ALUNO-10,2019,3,Quartzo,10.0,0,0.0,0,5.2,5.83333,3.75,7.96875,1,6.8333325,5.1618745,0
ALUNO-11,2020,0,Topázio,10.0,1,10.0,1,10.0,9.000020000000001,8.125,10.0,1,10.00001,9.712504,1
ALUNO-12,2017,3,Quartzo,5.0,0,6.666666666666667,0,6.0,6.25,5.625,5.624999999999999,0,5.277770000000001,5.838887333333334,0
ALUNO-14,2018,2,Ágata,10.0,0,0.0,1,7.6,8.000020000000001,6.875,8.4375,1,7.916665,6.434585,0
ALUNO-15,2019,2,Quartzo,5.0,0,0.0,0,4.0,8.500020000000001,7.5,8.125,0,7.25,5.162502,0
ALUNO-17,2018,1,Ametista,5.0,1,10.0,0,6.8,9.50002,7.5,6.5625,0,7.75,7.766252,0
ALUNO-18,2017,3,Ágata,5.0,0,6.5,0,7.0,9.58335,7.5,7.083333333333334,0,7.944446666666665,7.2055576666666665,0
ALUNO-28,2018,3,Topázio,10.0,1,9.0,1,9.6,9.58335,6.875,10.0,1,9.944453333333334,9.354725666666669,1
ALUNO-30,2020,0,Ágata,10.0,0,4.75,1,10.0,7.916679999999999,7.5,2.5,1,6.916665,7.125001,0
ALUNO-33,2020,3,Ágata,10.0,1,8.666666666666666,0,4.5,6.66667,7.5,7.083333333333334,1,6.277773333333332,7.013888333333334,0
ALUNO-34,2018,2,Ametista,5.0,0,7.0,1,9.3,8.500020000000001,6.875,8.125,0,7.944443333333334,7.698890666666667,0
ALUNO-35,2017,7,Ágata,5.0,0,5.0,0,6.1,8.75001,6.25,7.65625,0,8.29167,6.64396,0
ALUNO-36,2019,3,Ametista,5.0,1,8.0,1,9.9,9.58335,7.5,8.749999999999998,0,8.222226666666668,8.307780333333334,0
ALUNO-37,2018,2,Ágata,10.0,0,2.5,1,7.7,10.00002,4.375,6.458333333333333,1,7.77778,6.6788913333333335,0
ALUNO-39,2017,3,Ametista,10.0,1,8.333333333333334,1,9.4,6.24999,7.5,8.541666666666666,1,6.777780000000001,8.131388333333334,0
ALUNO-41,2020,1,Ametista,5.0,0,7.25,1,8.3,8.000020000000001,7.5,7.5,0,7.75,7.460002,0
ALUNO-43,2018,4,Ametista,10.0,0,7.0,1,7.5,7.5,7.5,7.96875,1,8.04167,7.805209,0
ALUNO-44,2020,1,Ágata,10.0,0,0.0,0,6.8,9.000020000000001,7.5,6.25,1,7.916665,6.218335,0
ALUNO-45,2019,1,Ágata,5.0,1,10.0,0,1.0,8.500020000000001,7.5,7.8125,0,7.75,6.631252,0
ALUNO-46,2020,0,Ágata,10.0,0,0.0,1,10.0,9.50002,7.5,7.5,1,7.583335,6.966669,0
ALUNO-51,2019,0,Topázio,10.0,1,10.0,1,9.8,9.50002,7.5,8.125,1,7.416665,8.955835,0
ALUNO-52,2018,2,Ametista,10.0,0,7.0,1,8.6,10.00002,6.25,7.916666666666668,1,8.22222,8.181112666666667,0
ALUNO-53,2016,5,Topázio,10.0,1,8.2,1,10.0,9.16668,7.5,0.0,1,0.0,8.696667999999999,0
ALUNO-55,2017,6,Ágata,5.0,0,6.333333333333333,1,9.0,0.0,7.5,8.28125,0,8.666667499999999,6.878125166666666,1
ALUNO-57,2018,6,Ametista,10.0,0,5.833333333333333,0,7.1,8.33334,6.25,7.5,1,7.5833325,7.311667166666667,0
ALUNO-59,2020,3,Ágata,10.0,0,6.0,0,3.6,8.75001,7.5,7.291666666666667,1,6.444439999999998,6.563055666666668,0
ALUNO-60,2016,5,Ametista,5.0,0,6.666666666666667,1,9.7,7.5,6.875,8.4375,0,8.124995,7.679582333333333,0
ALUNO-61,2020,1,Quartzo,5.0,0,0.0,0,6.5,9.000020000000001,7.5,6.875,0,7.333333333333333,5.604168666666667,0
ALUNO-62,2020,2,Ágata,5.0,0,3.5,0,6.9,7.916679999999999,7.5,7.083333333333333,0,7.5,6.330001333333334,0
ALUNO-68,2020,1,Quartzo,5.0,0,0.0,1,7.6,9.000020000000001,7.5,7.1875,0,8.0,5.988752,0
ALUNO-71,2019,0,Ametista,5.0,1,9.5,1,10.0,8.500020000000001,5.0,2.5,0,7.749995,7.550001,0
ALUNO-75,2019,3,Topázio,10.0,1,9.0,1,10.0,10.00002,10.0,9.375,1,9.75001,9.687504,1
ALUNO-76,2020,0,Topázio,10.0,1,10.0,1,10.0,8.91668,10.0,7.5,1,6.58333,8.958334,0
ALUNO-78,2017,1,Ametista,5.0,0,5.5,1,9.0,9.50002,7.5,7.1875,0,7.666665,7.352085,0
ALUNO-80,2019,2,Ágata,10.0,0,0.0,1,9.2,6.91668,7.5,7.291666666666667,1,7.444443333333333,6.499723333333334,0
ALUNO-81,2019,4,Ametista,5.0,0,6.0,1,8.8,5.41667,7.5,8.125,0,9.11112,7.386391000000001,1
ALUNO-82,2020,0,Ametista,5.0,1,8.5,1,10.0,8.500020000000001,7.5,6.875,0,7.333335,7.954169,0
ALUNO-83,2016,4,Ametista,10.0,0,5.333333333333333,1,9.4,9.16668,5.625,8.958333333333332,1,9.166676666666666,8.155003333333333,1
ALUNO-84,2020,0,Topázio,10.0,1,8.5,1,10.0,9.000020000000001,10.0,7.5,1,6.999995,8.750001000000001,0
ALUNO-85,2019,0,Ágata,5.0,1,10.0,1,9.9,9.50002,2.5,2.5,0,6.66666,7.263334,0
ALUNO-86,2019,6,Quartzo,5.0,0,3.6666666666666665,0,4.9,8.33334,7.5,7.5,0,5.7083325,5.688333833333334,0
ALUNO-87,2016,4,Ametista,10.0,0,6.666666666666667,1,9.2,8.33334,5.625,8.749999999999998,1,8.722226666666666,8.188612666666666,1
ALUNO-88,2018,2,Topázio,10.0,1,9.5,1,9.4,10.00002,7.5,5.9375,1,9.58334,9.04042,1
ALUNO-89,2019,0,Ametista,5.0,1,7.5,1,10.0,10.00002,7.5,6.875,0,7.5,7.937502,0
ALUNO-90,2019,3,Ágata,5.0,1,7.666666666666667,0,5.8,8.33334,7.5,7.96875,0,7.5000025,7.073542833333333,0
ALUNO-91,2018,2,Ágata,10.0,0,4.5,0,6.4,9.000020000000001,6.875,5.625,1,7.58333,6.846668,0
ALUNO-94,2019,3,Ágata,10.0,0,4.0,0,6.0,7.08333,7.5,7.96875,1,7.5000025,6.7552085,0
ALUNO-95,2019,3,Ametista,5.0,0,6.666666666666667,1,8.2,9.58335,7.5,7.96875,0,6.791665,7.336876333333333,0
ALUNO-96,2019,7,Ágata,5.0,0,3.0,0,6.1,9.16668,6.875,7.5,0,8.791664999999998,6.432500999999999,1
ALUNO-97,2018,2,Ametista,5.0,0,6.0,1,8.0,9.50002,7.5,8.4375,0,7.75,7.393752,0
ALUNO-100,2018,1,Ágata,5.0,1,7.5,0,6.5,9.000020000000001,4.375,6.875,0,7.916665,6.908335000000001,0
ALUNO-102,2020,1,Ametista,10.0,0,7.0,1,8.5,8.000020000000001,7.5,7.5,1,7.833333333333333,7.966668666666667,0
ALUNO-103,2020,0,Topázio,10.0,1,8.5,1,10.0,9.000020000000001,7.5,7.8125,1,7.333335,8.597919000000001,0
ALUNO-105,2020,3,Topázio,10.0,1,8.0,1,9.6,9.16668,7.5,7.96875,1,7.66667,8.516877,0
ALUNO-106,2020,0,Ametista,5.0,1,10.0,1,10.0,9.50002,7.5,7.5,0,7.5,8.450002,0
ALUNO-111,2020,3,Ágata,5.0,0,4.5,1,7.7,7.91667,7.5,7.96875,0,7.8750025,6.8535425,0
ALUNO-112,2018,3,Ágata,5.0,0,5.333333333333333,0,6.8,7.91667,4.375,7.708333333333334,0,7.611103333333333,6.448887666666667,0
ALUNO-113,2019,1,Ametista,5.0,1,7.5,1,8.8,8.500020000000001,7.5,7.5,0,7.916665,7.693335000000001,0
ALUNO-115,2019,4,Quartzo,5.0,0,5.166666666666667,0,1.9,9.16668,6.875,7.916666666666667,0,5.111106666666666,5.331389333333334,0
ALUNO-117,2020,1,Ametista,5.0,1,9.5,1,8.9,8.000020000000001,7.5,7.1875,0,7.916665,8.032085,0
ALUNO-118,2019,1,Ametista,10.0,1,10.0,1,7.7,8.500020000000001,7.5,7.1875,1,7.416665,8.342085,0
ALUNO-120,2019,0,Ametista,5.0,1,9.5,1,10.0,9.000020000000001,8.125,2.5,0,7.666665,7.895835000000001,0
ALUNO-125,2020,1,Ágata,5.0,0,5.0,1,9.0,9.000020000000001,7.5,7.708333333333334,0,7.333333333333333,7.187502,0
ALUNO-128,2019,0,Quartzo,5.0,0,5.5,1,10.0,7.416679999999999,5.625,2.5,0,3.500005,5.854169000000001,0
ALUNO-132,2017,4,Ametista,10.0,0,6.0,0,6.5,8.75001,7.5,8.28125,1,6.95833,7.344792,0
ALUNO-133,2019,0,Ametista,5.0,1,10.0,1,9.8,10.00002,7.5,7.1875,0,7.5,8.428752,0
ALUNO-135,2019,1,Ametista,10.0,0,6.5,1,8.4,9.000020000000001,7.5,7.1875,1,7.25,7.798752,0
ALUNO-136,2018,5,Quartzo,5.0,0,2.0,0,4.0,7.5,4.375,6.666666666666667,0,5.444446666666667,4.643056,0
ALUNO-139,2020,5,Ágata,5.0,0,4.333333333333333,0,5.8,9.16668,7.5,8.125,0,5.499996666666667,6.105834000000001,0
ALUNO-145,2019,7,Ametista,10.0,0,7.333333333333333,1,9.1,7.91667,7.5,7.5,1,8.8333375,8.345001166666666,1
ALUNO-146,2018,1,Ágata,10.0,0,0.0,0,7.2,10.00002,7.5,7.291666666666667,1,7.333333333333333,6.385835333333334,0
ALUNO-147,2019,2,Quartzo,5.0,0,0.0,1,8.0,9.000020000000001,7.5,7.291666666666667,0,7.277776666666666,5.934724000000001,0
ALUNO-149,2019,6,Ágata,10.0,0,3.0,1,8.7,7.5,5.625,8.125,1,8.333335,7.131667,0
ALUNO-151,2019,1,Ametista,5.0,1,7.5,1,9.5,9.50002,7.5,9.166666666666666,0,8.611113333333334,8.238891333333333,0
ALUNO-152,2019,3,Ametista,10.0,0,6.333333333333333,1,9.0,6.24999,7.5,7.96875,1,8.6250075,7.963542166666667,0
ALUNO-153,2017,4,Ametista,10.0,0,4.666666666666667,1,9.0,10.00002,7.5,8.59375,1,9.1250075,8.167711833333334,1
ALUNO-154,2019,1,Quartzo,5.0,0,0.0,0,7.1,8.500020000000001,7.5,7.8125,0,7.916665,5.884585,0
ALUNO-156,2018,2,Ágata,5.0,0,5.0,1,8.9,7.916679999999999,7.5,6.666666666666667,0,8.11111,7.110556666666668,0
ALUNO-157,2019,1,Ágata,5.0,0,6.75,0,6.4,9.50002,7.5,7.916666666666668,0,7.777776666666667,7.177224000000001,0
ALUNO-158,2018,3,Quartzo,5.0,0,5.0,0,5.9,9.16668,3.75,7.708333333333334,0,6.611103333333333,6.064722,0
ALUNO-160,2018,1,Quartzo,5.0,0,0.0,0,2.3,8.000020000000001,5.0,7.291666666666667,0,7.444443333333333,4.478057333333334,0
ALUNO-161,2016,8,Ametista,10.0,1,9.0,1,10.0,7.91667,7.5,0.0,0,0.0,8.891667,0
ALUNO-162,2018,1,Ametista,5.0,1,8.5,1,8.8,8.500020000000001,7.5,8.4375,0,7.75,7.953752000000001,0
ALUNO-163,2017,1,Ágata,5.0,0,6.25,1,8.2,7.50002,5.0,2.5,0,7.75,6.440002,0
ALUNO-164,2019,1,Ametista,5.0,1,7.5,1,8.7,9.50002,7.5,7.1875,0,7.75,7.708752,0
ALUNO-165,2019,0,Ametista,5.0,1,10.0,1,10.0,9.000020000000001,7.5,7.8125,0,7.5,8.431252,0
ALUNO-168,2019,1,Ametista,5.0,1,8.5,1,8.8,10.00002,7.5,7.5,0,8.11111,8.082224,0
ALUNO-169,2020,0,Ametista,10.0,1,10.0,1,10.0,9.000020000000001,5.0,2.5,1,5.749995,7.800001000000001,0
ALUNO-173,2016,5,Quartzo,5.0,0,2.833333333333333,0,0.9,7.91667,3.125,5.625,0,4.1250025,3.7383341666666654,0
ALUNO-174,2017,5,Ametista,10.0,0,7.2,1,10.0,9.16668,5.625,0.0,1,0.0,7.921668,0
ALUNO-183,2018,0,Ametista,5.0,1,10.0,1,10.0,9.000020000000001,8.125,2.5,0,7.000005,7.862503,0
ALUNO-184,2018,1,Ametista,10.0,1,7.5,1,8.3,10.00002,7.5,7.916666666666668,1,7.777776666666667,8.257224,0
ALUNO-186,2020,3,Ágata,2.5,0,5.666666666666667,0,5.8,8.75001,7.5,8.125,0,6.66666,6.314166333333334,0
ALUNO-187,2020,2,Ágata,10.0,0,0.0,1,8.0,8.500020000000001,7.5,7.916666666666667,1,7.111106666666665,6.41389,0
ALUNO-188,2018,3,Ametista,10.0,1,9.0,0,4.7,7.08333,7.5,8.125,1,8.66667,7.744167,1
ALUNO-189,2020,1,Ágata,5.0,1,8.0,1,8.3,8.000020000000001,5.0,7.291666666666667,0,7.333333333333333,7.2558353333333345,0
ALUNO-190,2017,7,Topázio,10.0,1,7.666666666666667,1,9.2,8.33334,6.875,9.0625,1,9.666670000000002,8.733751333333334,1
ALUNO-192,2018,1,Quartzo,5.0,0,0.0,0,5.1,7.416679999999999,5.0,6.041666666666666,0,7.444443333333333,4.854723333333333,0
ALUNO-193,2016,3,Topázio,10.0,0,7.0,1,9.8,10.00002,5.0,8.125,1,9.333333333333332,8.539168666666667,1
ALUNO-194,2017,6,Ágata,5.0,0,6.333333333333333,1,8.3,8.33334,6.875,7.65625,0,7.04167,7.1214596666666665,0
ALUNO-197,2019,3,Topázio,10.0,1,8.666666666666666,1,9.6,8.33334,7.5,8.958333333333332,1,8.5,8.832500666666666,0
ALUNO-198,2017,6,Quartzo,10.0,0,4.5,0,6.1,0.0,5.625,5.78125,1,6.291665,5.518958,0
ALUNO-199,2019,3,Ágata,5.0,1,7.666666666666667,0,4.8,6.25,7.5,8.125,0,7.388886666666666,6.658610666666666,0
ALUNO-200,2016,4,Ametista,10.0,0,5.666666666666667,0,5.8,7.91667,7.5,8.125,1,8.5416725,7.355834833333334,0
ALUNO-201,2019,3,Ametista,5.0,1,8.0,1,9.4,7.08333,7.5,7.96875,0,7.4166675,7.718541500000001,0
ALUNO-202,2018,2,Quartzo,5.0,0,0.0,0,2.9,0.0,6.875,6.458333333333334,0,6.833326666666666,3.7799986666666663,0
ALUNO-206,2018,6,Quartzo,10.0,0,2.0,0,4.3,0.0,7.5,7.8125,1,7.1249975,5.2162495,0
ALUNO-208,2020,2,Ametista,10.0,0,5.0,1,9.4,9.000020000000001,7.5,8.125,1,7.5,7.842502,0
ALUNO-209,2019,0,Topázio,5.0,1,10.0,1,10.0,9.50002,6.25,10.0,0,10.00001,9.075004,1
ALUNO-210,2017,5,Ametista,10.0,0,5.666666666666667,1,9.1,10.00002,7.5,8.541666666666666,1,8.277783333333332,8.213058666666669,0
ALUNO-212,2019,0,Ágata,10.0,0,7.0,1,10.0,7.416679999999999,4.375,2.5,1,2.58334,6.345836,0
ALUNO-213,2018,2,Ametista,5.0,1,9.0,1,9.7,9.000020000000001,5.0,8.749999999999998,0,7.833336666666668,8.081669333333334,0
ALUNO-215,2019,1,Topázio,10.0,1,10.0,1,9.3,9.50002,7.5,7.8125,1,7.666665,8.874585000000002,0
ALUNO-216,2019,8,Quartzo,10.0,0,7.4,0,0.0,8.75001,5.625,0.0,0,0.0,5.960001,0
ALUNO-217,2019,1,Topázio,10.0,1,9.5,1,9.4,8.000020000000001,7.5,8.125,1,9.000005,8.942503,1
ALUNO-219,2019,2,Ametista,10.0,0,5.0,1,7.9,9.50002,8.75,8.4375,1,7.916665,7.832084999999999,0
ALUNO-222,2019,1,Topázio,10.0,1,9.5,1,7.8,9.000020000000001,7.5,7.1875,1,8.25,8.478752,0
ALUNO-223,2019,1,Ágata,5.0,0,5.0,0,5.2,9.000020000000001,6.875,8.541666666666668,0,8.055556666666668,6.59278,0
ALUNO-225,2016,4,Topázio,10.0,1,8.333333333333334,1,9.7,9.58335,7.5,8.749999999999998,1,8.277783333333334,8.845558333333333,0
ALUNO-226,2018,2,Ametista,10.0,1,7.5,0,7.4,8.500020000000001,5.625,8.125,1,8.222223333333332,7.849446666666667,0
ALUNO-227,2020,3,Quartzo,5.0,0,6.333333333333333,0,3.0,8.75001,7.5,7.8125,0,6.0416625,5.981250166666666,0
ALUNO-229,2019,1,Quartzo,5.0,0,0.0,1,7.8,7.33334,7.5,7.916666666666668,0,7.777776666666667,5.890556,0
