NOME,ANO_INGRESSO_2021,FASE_2021,NIVEL_IDEAL_2021,PEDRA_2021,IAN_2021,IDA_2021,IEG_2021,IAA_2021,IPS_2021,IPP_2021,IPV_2021,INDE_2021,PONTO_VIRADA_2021,REC_AVA_UNIFICADO,DEFASAGEM_2021
ALUNO-1,2021.0,2.0,3,Ametista,5.0,8.8,6.3,7.5,6.9,7.7,8.1,7.319,0,Promovido de Fase,-1.0
ALUNO-3,2018.0,3.0,3,Ametista,10.0,5.6,6.9,7.1,6.3,7.3,7.2,7.021,0,Promovido de Fase,0.0
ALUNO-5,2019.0,2.0,2,Ametista,10.0,5.4,7.5,7.4,7.5,8.5,7.4,7.399,0,Mantido na Fase atual,0.0
ALUNO-8,2017.0,5.0,5,Topázio,10.0,7.1,8.6,8.8,7.5,8.0,8.5,8.269,0,Promovido de Fase,0.0
ALUNO-11,2020.0,1.0,1,Topázio,10.0,8.8,10.0,9.0,6.3,7.7,9.7,8.99,1,Mantido na Fase atual,0.0
ALUNO-13,2021.0,0.0,1,Quartzo,5.0,0.8,0.0,8.0,7.5,0.0,6.0,3.413,0,Não avaliado,-1.0
ALUNO-17,2018.0,1.0,3,Ágata,5.0,2.6,4.2,9.5,7.5,8.4,8.8,6.14,0,Não avaliado,-2.0
ALUNO-18,2017.0,4.0,5,Ágata,5.0,5.3,3.3,10.0,6.3,7.7,5.2,5.666,0,Mantido na Fase atual,-1.0
ALUNO-19,2021.0,2.0,3,Ágata,5.0,4.6,6.3,9.0,7.5,7.7,8.3,6.751,0,Mantido na Fase atual,-1.0
ALUNO-28,2021.0,4.0,4,Topázio,10.0,8.8,9.2,8.3,7.5,9.4,9.9,9.079,1,Promovido de Fase + Bolsa,0.0
ALUNO-29,2021.0,3.0,5,Ágata,5.0,3.8,5.3,9.6,7.5,7.5,7.9,6.342,0,Promovido de Fase,-2.0
ALUNO-34,2018.0,2.0,3,Ágata,5.0,5.5,2.9,6.9,7.5,7.7,8.7,6.129,0,Mantido na Fase atual,-1.0
ALUNO-35,2017.0,7.0,8,Topázio,5.0,8.2,9.4,9.2,7.5,8.4,9.4,8.416,1,Promovido de Fase + Bolsa,-1.0
