NOME,ANO_INGRESSO_2022,FASE_2022,NIVEL_IDEAL_2022,BOLSISTA_2022,PEDRA_2022,IAN_2022,DESTAQUE_IDA_2022,IDA_2022,DESTAQUE_IEG_2022,IEG_2022,IAA_2022,IPS_2022,IPP_2022,DESTAQUE_IPV_2022,IPV_2022,INDE_2022,PONTO_VIRADA_2022,QTD_AVAL_2022,INDICADO_BOLSA_2022,REC_AVA_UNIFICADO
ALUNO-2,2022,0.0,2,0,Ametista,5.0,1,8.816666666666666,1,7.58170509886757,10.00002,7.5,5.625,1,7.916665,7.675509353106849,0,2.0,1,Mantido na Fase + Bolsa
ALUNO-4,2022,2.0,3,0,Ametista,5.0,0,5.083333333333334,1,8.071428571428571,10.00002,7.5,6.25,1,8.055553333333334,7.117065047619048,0,3.0,0,Promovido de Fase
ALUNO-5,2019,2.0,3,0,Ametista,5.0,0,7.083333333333334,1,8.557504873294347,6.41668,7.5,6.458333333333334,1,7.833336666666667,7.232336307992202,0,3.0,0,Mantido na Fase atual
ALUNO-6,2022,2.0,2,0,Ametista,10.0,0,5.5,1,9.333333333333332,9.000020000000001,7.5,6.25,1,7.5,7.741668666666667,0,3.0,0,Mantido na Fase atual
ALUNO-7,2022,1.0,2,0,Ametista,5.0,0,5.583333333333334,1,9.314954051796157,10.00002,7.5,5.9375,1,7.91667,7.406743477025898,0,2.0,0,Promovido de Fase
ALUNO-8,2017,5.0,6,1,Ametista,5.0,0,7.144444444444445,1,8.268065268065268,9.16668,5.0,7.65625,1,7.6250025,7.289795442501942,0,4.0,0,Promovido de Fase + Bolsa
ALUNO-9,2022,0.0,0,0,Quartzo,10.0,0,2.133333333333333,0,6.820377689942907,9.000020000000001,5.0,3.75,0,5.50001,5.665746204655248,0,2.0,0,Mantido na Fase atual
ALUNO-11,2020,1.0,2,1,Topázio,5.0,1,9.833333333333332,1,9.198412698412698,8.000020000000001,7.5,7.083333333333332,1,9.50001,8.464686539682539,1,3.0,0,Promovido de Fase + Bolsa
ALUNO-16,2022,1.0,2,0,Ágata,5.0,0,6.333333333333334,1,9.33862433862434,8.500020000000001,6.875,4.791666666666666,0,6.722219999999999,6.995504201058202,0,3.0,0,Mantido na Fase atual
ALUNO-17,2018,1.0,3,0,Ágata,5.0,0,5.5,0,6.647869674185464,9.50002,7.5,5.9375,1,7.5,6.723325934837093,0,2.0,0,Mantido na Fase atual
ALUNO-18,2017,4.0,6,0,Quartzo,5.0,0,5.222222222222222,0,6.287640056022409,0.0,8.125,7.8125,0,7.2499975,5.845721955648926,0,4.0,1,Promovido de Fase
ALUNO-19,2021,2.0,3,0,Ametista,5.0,0,7.466666666666667,1,9.054621848739496,10.00002,7.5,6.666666666666666,1,8.111113333333334,7.843149036414566,0,3.0,0,Promovido de Fase
ALUNO-20,2022,0.0,0,0,Topázio,10.0,1,8.466666666666667,1,9.552042160737813,10.00002,7.5,5.625,1,8.5,8.616243765480895,1,2.0,0,Mantido na Fase atual
ALUNO-21,2022,3.0,6,0,Quartzo,2.5,0,5.166666666666667,0,5.649085968379447,7.91667,5.0,7.03125,0,6.222216666666668,5.652385860342557,0,3.0,0,Mantido na Fase atual
ALUNO-22,2022,0.0,0,0,Topázio,10.0,1,9.25,1,8.982056590752244,8.000020000000001,7.5,4.6875,0,7.166665,8.098496318150449,0,2.0,0,Mantido na Fase atual
ALUNO-23,2022,1.0,2,0,Ametista,5.0,1,9.25,1,7.7986963456071,8.000020000000001,7.5,6.5625,1,8.333335,7.78265826912142,0,2.0,0,Promovido de Fase
ALUNO-24,2022,2.0,2,0,Topázio,10.0,0,6.75,1,9.320987654320987,10.00002,6.875,6.458333333333333,1,8.611119999999998,8.26975686419753,1,3.0,1,Mantido na Fase atual
ALUNO-25,2022,0.0,0,0,Ametista,10.0,1,9.1,1,8.346320346320347,7.50002,7.5,3.125,1,8.249995,7.95176506926407,0,2.0,0,Mantido na Fase atual
ALUNO-26,2022,0.0,1,0,Ametista,5.0,1,9.166666666666666,1,8.721340388007054,9.000020000000001,7.5,5.9375,0,7.083335,7.738020410934745,0,2.0,0,Mantido na Fase atual
