NOME,FASE_2020,FASE_2021,FASE_2022,PEDRA_2020,PEDRA_2021,PEDRA_2022,PONTO_VIRADA_2020,PONTO_VIRADA_2021,PONTO_VIRADA_2022,IAN_2020,IAN_2021,IAN_2022,IDA_2020,IDA_2021,IDA_2022,IEG_2020,IEG_2021,IEG_2022,IAA_2020,IAA_2021,IAA_2022,IPS_2020,IPS_2021,IPS_2022,IPP_2020,IPP_2021,IPP_2022,IPV_2020,IPV_2021,IPV_2022,INDE_2020,INDE_2021,INDE_2022,STATUS_ALUNO,ANO_INGRESSO,FASE_PARADA,dimensao_academica,dimensao_psicossocial,dimensao_psicopedagogica
ALUNO-1,2.0,2.0,,Ametista,Ametista,,0.0,0.0,,10.0,5.0,,7.0,8.8,,8.7,6.3,,8.500020000000001,7.5,,7.5,6.9,,5.9375,7.7,,7.75,8.1,,7.883752,7.319,,Desistiu em 2022,2018.0,,7.633333333333333,7.6000049999999995,7.371874999999999
ALUNO-3,3.0,3.0,,Ametista,Ametista,,0.0,0.0,,10.0,10.0,,5.5,5.6,,8.9,6.9,,7.91667,7.1,,7.5,6.3,,8.125,7.3,,8.111113333333334,7.2,,7.856389666666666,7.021,,Desistiu em 2022,2018.0,,7.816666666666666,7.2041675,7.684028333333334
ALUNO-4,1.0,,2.0,Quartzo,,Ametista,0.0,,0.0,5.0,,5.0,0.0,,5.083333333333334,4.1,,8.071428571428571,8.000020000000001,,10.00002,6.875,,7.5,7.1875,,6.25,7.75,,8.055553333333334,5.076252,,7.117065047619048,Retornou em 2022,2018.0,2.0,4.542460317460318,8.09376,7.310763333333334
ALUNO-5,2.0,2.0,2.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,10.0,10.0,5.0,7.5,5.4,7.083333333333334,8.0,7.5,8.557504873294347,7.50002,7.4,6.41668,7.5,7.5,7.5,8.4375,8.5,6.458333333333334,8.166665,7.4,7.833336666666667,8.077085,7.399,7.232336307992202,Ativo,2019.0,2.0,7.671204245180854,7.302783333333333,7.799305833333334
ALUNO-8,4.0,5.0,5.0,Ametista,Topázio,Ametista,1.0,0.0,0.0,10.0,10.0,5.0,7.333333333333333,7.1,7.144444444444445,9.9,8.6,8.268065268065268,8.33334,8.8,9.16668,4.375,7.5,5.0,8.749999999999998,8.0,7.65625,8.94445,8.5,7.6250025,8.381390666666666,8.269,7.289795442501942,Ativo,2017.0,5.0,8.149538116204784,7.1958366666666675,8.245950416666666
ALUNO-10,3.0,,,Quartzo,,,0.0,,,10.0,,,0.0,,,5.2,,,5.83333,,,3.75,,,7.96875,,,6.8333325,,,5.1618745,,,Desistiu em 2021,2019.0,,5.066666666666666,4.791665,7.4010412500000005
ALUNO-11,0.0,1.0,1.0,Topázio,Topázio,Topázio,1.0,1.0,1.0,10.0,10.0,5.0,10.0,8.8,9.833333333333332,10.0,10.0,9.198412698412698,9.000020000000001,9.0,8.000020000000001,8.125,6.3,7.5,10.0,7.7,7.083333333333332,10.00001,9.7,9.50001,9.712504,8.99,8.464686539682539,Ativo,2020.0,1.0,9.203527336860668,7.987506666666666,8.997225555555554
ALUNO-12,3.0,,,Quartzo,,,0.0,,,5.0,,,6.666666666666667,,,6.0,,,6.25,,,5.625,,,5.624999999999999,,,5.277770000000001,,,5.838887333333334,,,Desistiu em 2021,2017.0,,5.888888888888889,5.9375,5.451385
ALUNO-14,2.0,,,Ágata,,,0.0,,,10.0,,,0.0,,,7.6,,,8.000020000000001,,,6.875,,,8.4375,,,7.916665,,,6.434585,,,Desistiu em 2021,2018.0,,5.866666666666667,7.4375100000000005,8.177082500000001
ALUNO-15,2.0,,,Quartzo,,,0.0,,,5.0,,,0.0,,,4.0,,,8.500020000000001,,,7.5,,,8.125,,,7.25,,,5.162502,,,Desistiu em 2021,2019.0,,3.0,8.00001,7.6875
ALUNO-17,1.0,1.0,1.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,5.0,5.0,5.0,10.0,2.6,5.5,6.8,4.2,6.647869674185464,9.50002,9.5,9.50002,7.5,7.5,7.5,6.5625,8.4,5.9375,7.75,8.8,7.5,7.766252,6.14,6.723325934837093,Ativo,2018.0,1.0,5.638652186020607,8.500006666666666,7.491666666666667
ALUNO-18,3.0,4.0,4.0,Ágata,Ágata,Quartzo,0.0,0.0,0.0,5.0,5.0,5.0,6.5,5.3,5.222222222222222,7.0,3.3,6.287640056022409,9.58335,10.0,0.0,7.5,6.3,8.125,7.083333333333334,7.7,7.8125,7.944446666666665,5.2,7.2499975,7.2055576666666665,5.666,5.845721955648926,Ativo,2017.0,4.0,5.4010958086938485,6.918058333333334,7.16504625
ALUNO-28,3.0,4.0,,Topázio,Topázio,,1.0,1.0,,10.0,10.0,,9.0,8.8,,9.6,9.2,,9.58335,8.3,,6.875,7.5,,10.0,9.4,,9.944453333333334,9.9,,9.354725666666669,9.079,,Desistiu em 2022,2018.0,,9.433333333333334,8.0645875,9.811113333333333
ALUNO-30,0.0,,0.0,Ágata,,Topázio,0.0,,0.0,10.0,,5.0,4.75,,9.1,10.0,,9.005163410197735,7.916679999999999,,10.00002,7.5,,7.5,2.5,,5.625,6.916665,,8.250005,7.125001,,8.083535682039548,Retornou em 2022,2020.0,0.0,7.975860568366289,8.229175,5.8229175
