NOME,ANO_INGRESSO_2020,FASE_2020,PEDRA_2020,IAN_2020,IDA_2020,IEG_2020,IAA_2020,IPS_2020,IPP_2020,IPV_2020,INDE_2020,PONTO_VIRADA_2020,ANO_INGRESSO_2021,FASE_2021,PEDRA_2021,IAN_2021,IDA_2021,IEG_2021,IAA_2021,IPS_2021,IPP_2021,IPV_2021,INDE_2021,PONTO_VIRADA_2021,ANO_INGRESSO_2022,FASE_2022,PEDRA_2022,IAN_2022,IDA_2022,IEG_2022,IAA_2022,IPS_2022,IPP_2022,IPV_2022,INDE_2022,PONTO_VIRADA_2022
ALUNO-1,2018.0,2,Ametista,10.0,7.0,8.7,8.500020000000001,7.5,5.9375,7.75,7.883752,0.0,2021.0,2.0,Ametista,5.0,8.8,6.3,7.5,6.9,7.7,8.1,7.319,0.0,,,,,,,,,,,,
ALUNO-3,2018.0,3,Ametista,10.0,5.5,8.9,7.91667,7.5,8.125,8.111113333333334,7.856389666666666,0.0,2018.0,3.0,Ametista,10.0,5.6,6.9,7.1,6.3,7.3,7.2,7.021,0.0,,,,,,,,,,,,
ALUNO-4,2018.0,1,Quartzo,5.0,0.0,4.1,8.000020000000001,6.875,7.1875,7.75,5.076252,0.0,,,,,,,,,,,,,2022.0,2.0,Ametista,5.0,5.083333333333334,8.071428571428571,10.00002,7.5,6.25,8.055553333333334,7.117065047619048,0.0
ALUNO-5,2019.0,2,Ametista,10.0,7.5,8.0,7.50002,7.5,8.4375,8.166665,8.077085,0.0,2019.0,2.0,Ametista,10.0,5.4,7.5,7.4,7.5,8.5,7.4,7.399,0.0,2019.0,2.0,Ametista,5.0,7.083333333333334,8.557504873294347,6.41668,7.5,6.458333333333334,7.833336666666667,7.232336307992202,0.0
ALUNO-8,2017.0,4,Ametista,10.0,7.333333333333333,9.9,8.33334,4.375,8.749999999999998,8.94445,8.381390666666666,1.0,2017.0,5.0,Topázio,10.0,7.1,8.6,8.8,7.5,8.0,8.5,8.269,0.0,2017.0,5.0,Ametista,5.0,7.144444444444445,8.268065268065268,9.16668,5.0,7.65625,7.6250025,7.289795442501942,0.0
ALUNO-10,2019.0,3,Quartzo,10.0,0.0,5.2,5.83333,3.75,7.96875,6.8333325,5.1618745,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-11,2020.0,0,Topázio,10.0,10.0,10.0,9.000020000000001,8.125,10.0,10.00001,9.712504,1.0,2020.0,1.0,Topázio,10.0,8.8,10.0,9.0,6.3,7.7,9.7,8.99,1.0,2020.0,1.0,Topázio,5.0,9.833333333333332,9.198412698412698,8.000020000000001,7.5,7.083333333333332,9.50001,8.464686539682539,1.0
ALUNO-12,2017.0,3,Quartzo,5.0,6.666666666666667,6.0,6.25,5.625,5.624999999999999,5.277770000000001,5.838887333333334,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-14,2018.0,2,Ágata,10.0,0.0,7.6,8.000020000000001,6.875,8.4375,7.916665,6.434585,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-15,2019.0,2,Quartzo,5.0,0.0,4.0,8.500020000000001,7.5,8.125,7.25,5.162502,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-17,2018.0,1,Ametista,5.0,10.0,6.8,9.50002,7.5,6.5625,7.75,7.766252,0.0,2018.0,1.0,Ágata,5.0,2.6,4.2,9.5,7.5,8.4,8.8,6.14,0.0,2018.0,1.0,Ágata,5.0,5.5,6.647869674185464,9.50002,7.5,5.9375,7.5,6.723325934837093,0.0
ALUNO-18,2017.0,3,Ágata,5.0,6.5,7.0,9.58335,7.5,7.083333333333334,7.944446666666665,7.2055576666666665,0.0,2017.0,4.0,Ágata,5.0,5.3,3.3,10.0,6.3,7.7,5.2,5.666,0.0,2017.0,4.0,Quartzo,5.0,5.222222222222222,6.287640056022409,0.0,8.125,7.8125,7.2499975,5.845721955648926,0.0
ALUNO-28,2018.0,3,Topázio,10.0,9.0,9.6,9.58335,6.875,10.0,9.944453333333334,9.354725666666669,1.0,2021.0,4.0,Topázio,10.0,8.8,9.2,8.3,7.5,9.4,9.9,9.079,1.0,,,,,,,,,,,,
ALUNO-30,2020.0,0,Ágata,10.0,4.75,10.0,7.916679999999999,7.5,2.5,6.916665,7.125001,0.0,,,,,,,,,,,,,2022.0,0.0,Topázio,5.0,9.1,9.005163410197735,10.00002,7.5,5.625,8.250005,8.083535682039548,0.0
ALUNO-33,2020.0,3,Ágata,10.0,8.666666666666666,4.5,6.66667,7.5,7.083333333333334,6.277773333333332,7.013888333333334,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ALUNO-34,2018.0,2,Ametista,5.0,7.0,9.3,8.500020000000001,6.875,8.125,7.944443333333334,7.698890666666667,0.0,2018.0,2.0,Ágata,5.0,5.5,2.9,6.9,7.5,7.7,8.7,6.129,0.0,2018.0,3.0,Ágata,5.0,6.111111111111111,7.056167617548691,7.5,7.5,7.5,6.41666,6.666787745731961,0.0
ALUNO-35,2017.0,7,Ágata,5.0,5.0,6.1,8.75001,6.25,7.65625,8.29167,6.64396,0.0,2017.0,7.0,Topázio,5.0,8.2,9.4,9.2,7.5,8.4,9.4,8.416,1.0,,,,,,,,,,,,
ALUNO-36,2019.0,3,Ametista,5.0,8.0,9.9,9.58335,7.5,8.749999999999998,8.222226666666668,8.307780333333334,0.0,2019.0,3.0,Ágata,5.0,4.7,6.4,8.3,3.8,7.3,7.9,6.246,0.0,2019.0,4.0,Ágata,5.0,5.877777777777777,8.074712643678161,5.83333,6.25,7.96875,7.7916675,6.854039584291188,0.0
