NOME,FASE_2020,FASE_2021,FASE_2022,PEDRA_2020,PEDRA_2021,PEDRA_2022,PONTO_VIRADA_2020,PONTO_VIRADA_2021,PONTO_VIRADA_2022,ANO_INGRESSO,dimensao_academica,dimensao_psicossocial,dimensao_psicopedagogica,ATIVO
ALUNO-1,2.0,2.0,2.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,0
ALUNO-3,3.0,3.0,3.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,0
ALUNO-4,1.0,1.0,2.0,Quartzo,Quartzo,Ametista,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,1
ALUNO-5,2.0,2.0,2.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-8,4.0,5.0,5.0,Ametista,Topázio,Ametista,1.0,0.0,0.0,2017.0,excelente,excelente,excelente,1
ALUNO-10,3.0,3.0,3.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,abaixo da media,excelente,0
ALUNO-11,0.0,1.0,1.0,Topázio,Topázio,Topázio,1.0,1.0,1.0,2020.0,excelente,excelente,excelente,1
ALUNO-12,3.0,3.0,3.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2017.0,abaixo da media,abaixo da media,abaixo da media,0
ALUNO-14,2.0,2.0,2.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,0
ALUNO-15,2.0,2.0,2.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,0
ALUNO-17,1.0,1.0,1.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,1
ALUNO-18,3.0,4.0,4.0,Ágata,Ágata,Quartzo,0.0,0.0,0.0,2017.0,abaixo da media,excelente,excelente,1
ALUNO-28,3.0,4.0,4.0,Topázio,Topázio,Topázio,1.0,1.0,1.0,2018.0,excelente,excelente,excelente,0
